is_near_metro,seller_type_encoded,flat,total_flat,room_count,area_converted,category_encoded,documents_encoded,is_repair_encoded,price
0,0,4,4,1,32.0,1,1,1,112000
1,0,9,10,2,65.0,1,1,1,123000
0,0,6,6,2,75.0,0,0,1,105000
0,0,2,12,3,115.0,0,1,1,189000
0,0,9,14,4,165.0,0,1,1,300000
1,1,2,9,3,61.1,1,1,1,145000
1,0,15,19,3,138.0,0,1,1,275000
1,0,13,16,3,147.0,0,1,1,263000
1,1,13,13,3,70.0,0,0,1,65500
1,0,3,16,3,143.8,0,0,0,230000
0,0,13,17,3,95.0,0,1,1,245000
1,0,18,24,4,184.0,0,0,0,345000
0,0,3,5,3,70.0,0,1,1,170000
0,0,11,16,3,140.0,0,1,1,280000
0,0,15,22,4,240.0,0,1,1,420000
0,0,5,18,4,165.0,0,1,1,400000
1,1,12,16,2,68.0,0,0,1,152000
0,0,9,12,3,70.0,0,1,1,125000
1,0,10,18,3,98.0,0,0,1,225000
1,1,11,12,2,58.0,0,0,1,124000
0,0,1,5,2,55.0,1,1,1,110000
1,0,1,9,2,50.0,1,1,1,110000
0,0,9,14,3,133.0,0,0,0,330000
1,0,7,16,2,104.0,0,0,1,146000
1,0,2,12,3,125.0,0,1,1,230000
1,0,1,5,4,85.0,1,1,1,160000
1,0,10,16,4,146.5,0,1,0,483500
1,0,2,9,3,75.0,1,1,1,175000
0,0,2,16,3,117.0,0,1,1,200000
0,0,14,19,3,103.0,0,1,1,188000
1,1,4,16,3,95.0,0,1,1,226000
1,0,7,11,3,116.0,0,1,1,218000
1,0,9,9,4,122.0,1,1,1,183000
1,1,14,15,2,72.0,0,0,1,132000
0,0,13,23,3,148.0,0,1,1,390000
1,0,10,20,4,250.0,0,0,1,750000
0,0,10,17,3,125.0,0,1,1,218000
1,0,3,9,3,90.0,1,1,1,155000
1,0,2,5,3,72.2,1,1,1,160000
0,0,20,20,2,58.0,0,1,1,122000
0,0,16,18,2,67.0,0,0,1,145000
1,0,8,9,3,90.0,0,1,1,167000
0,0,4,11,2,60.0,0,1,1,120000
0,0,8,14,2,55.0,0,0,1,180000
0,0,16,18,2,70.0,0,1,1,130000
1,0,10,17,3,130.0,0,0,0,195000
1,1,3,5,3,64.0,1,1,0,82000
1,0,3,16,4,141.0,0,0,0,186000
0,1,1,3,3,74.0,1,1,1,139000
1,0,4,19,2,88.0,0,1,1,189000
0,0,4,9,2,48.0,1,1,1,83500
1,0,8,16,3,110.0,0,1,1,365000
0,0,9,9,2,60.0,1,1,1,93000
1,0,5,9,3,65.0,1,1,1,130000
1,0,2,12,3,126.0,0,1,0,230000
1,1,1,7,2,62.0,0,1,1,75000
1,0,12,16,3,100.0,0,1,1,245000
0,0,10,18,2,78.0,0,1,1,255000
0,0,12,20,3,109.0,0,0,1,460000
1,0,5,5,3,50.0,1,1,1,110000
1,0,16,17,2,75.0,0,0,0,175000
1,0,8,14,3,150.0,0,1,1,320000
0,0,2,4,3,66.0,1,1,1,150000
1,0,2,5,2,55.0,1,1,1,105000
1,0,3,8,3,118.0,0,1,1,308000
0,1,5,5,2,138.0,1,1,1,180000
0,0,4,5,2,80.0,0,0,0,59000
1,0,6,17,3,105.0,0,1,1,180000
1,0,2,4,3,95.0,1,1,1,208000
1,0,4,17,3,85.0,0,1,1,175000
0,0,15,19,3,115.0,0,1,1,151000
0,0,11,14,3,105.0,0,0,1,262000
1,0,19,19,3,102.0,0,1,1,260000
0,0,7,17,2,65.0,0,0,1,165000
0,0,8,9,2,40.0,1,1,1,91500
0,0,18,20,3,110.0,0,1,1,240000
1,0,9,16,2,65.0,0,1,1,155000
